Year,team,matches_played,goals_for,goals_against,wins,draws,losses,average_attendance,goals_per_match,win_percentage,goal_difference,confederation_AFC,confederation_CAF,confederation_CONCACAF,confederation_CONMEBOL,confederation_OFC,confederation_Other,confederation_UEFA,reached_semifinals
2002.0,Costa Rica,3,5.0,6.0,1,1,1,36013.0,1.67,33.3,-1.0,False,False,True,False,False,False,False,0
2002.0,Croatia,3,2.0,3.0,1,0,2,44858.0,0.67,33.3,-1.0,False,False,False,False,False,False,True,0
2002.0,Denmark,4,5.0,5.0,2,1,1,40585.0,1.25,50.0,0.0,False,False,False,False,False,False,True,0
2002.0,Ecuador,3,2.0,4.0,1,0,2,47518.0,0.67,33.3,-2.0,False,False,False,True,False,False,False,0
2002.0,England,5,6.0,3.0,2,2,1,44306.0,1.2,40.0,3.0,False,False,False,False,False,False,True,0
2002.0,France,3,0.0,3.0,0,1,2,49650.0,0.0,0.0,-3.0,False,False,False,False,False,False,True,0
2002.0,Germany,7,14.0,3.0,5,1,1,44565.0,2.0,71.4,11.0,False,False,False,False,False,False,True,1
2002.0,Italy,4,5.0,5.0,1,1,2,36358.0,1.25,25.0,0.0,False,False,False,False,False,False,True,0
2002.0,Japan,4,5.0,3.0,2,1,1,53061.0,1.25,50.0,2.0,True,False,False,False,False,False,False,0
2002.0,Korea Republic,7,8.0,6.0,3,2,2,52745.0,1.14,42.9,2.0,True,False,False,False,False,False,False,1
2002.0,Mexico,4,4.0,4.0,2,1,1,38380.0,1.0,50.0,0.0,False,False,True,False,False,False,False,0
2002.0,Nigeria,3,1.0,3.0,0,1,2,38369.0,0.33,0.0,-2.0,False,True,False,False,False,False,False,0
2002.0,Paraguay,4,6.0,7.0,1,1,2,26134.0,1.5,25.0,-1.0,False,False,False,True,False,False,False,0
2002.0,Poland,3,3.0,7.0,1,0,2,35414.0,1.0,33.3,-4.0,False,False,False,False,False,False,True,0
2002.0,Portugal,3,6.0,4.0,1,0,2,39515.0,2.0,33.3,2.0,False,False,False,False,False,False,True,0
2002.0,Republic of Ireland,4,6.0,3.0,1,3,0,43445.0,1.5,25.0,3.0,False,False,False,False,False,True,False,0
2002.0,Russia,3,4.0,4.0,1,0,2,47902.0,1.33,33.3,0.0,False,False,False,False,False,False,True,0
2002.0,Saudi Arabia,3,0.0,12.0,0,0,3,49955.0,0.0,0.0,-12.0,True,False,False,False,False,False,False,0
2002.0,Senegal,5,7.0,6.0,2,2,1,44744.0,1.4,40.0,1.0,False,True,False,False,False,False,False,0
2002.0,Slovenia,3,2.0,7.0,0,0,3,35333.0,0.67,0.0,-5.0,False,False,False,False,False,True,False,0
2002.0,South Africa,3,5.0,5.0,1,1,1,34479.0,1.67,33.3,0.0,False,True,False,False,False,False,False,0
2002.0,Spain,5,10.0,5.0,3,2,0,32932.0,2.0,60.0,5.0,False,False,False,False,False,False,True,0
